emp_no,first_name,last_name,title,from_date,birth_date
458111,Florian,Tramer,Engineer,1999-11-07,1965-01-23
401420,Florian,Uhrig,Senior Staff,1987-01-31,1965-01-06
98639,Florina,Assaf,Staff,1996-05-18,1965-01-29
234739,Foong,Aamodt,Senior Engineer,1986-06-28,1965-01-31
298577,Florina,Litecky,Senior Staff,1994-12-02,1965-01-11
227901,Francesca,Azuma,Senior Staff,2001-06-08,1965-01-26
457813,Foong,Gargeya,Senior Engineer,2000-01-24,1965-01-28
240870,Francesca,Chorvat,Senior Staff,1993-03-03,1965-01-06
83280,Francesca,Ellozy,Senior Engineer,1999-08-08,1965-01-07
488095,Francoise,Hegner,Senior Staff,1997-12-23,1965-01-24
290010,Fox,Lodder,Staff,1988-02-17,1965-01-11
216246,Francoise,Rullman,Staff,1997-12-30,1965-01-21
204471,Franziska,Maginnis,Senior Engineer,1992-02-17,1965-01-27
409805,Frazer,Candan,Senior Engineer,1999-03-05,1965-01-15
242611,Frazer,Flanders,Engineer,1995-08-25,1965-01-18
73076,Froduald,Feldhoffer,Senior Engineer,1993-03-16,1965-01-22
420694,Frazer,Barbanera,Senior Staff,1991-11-04,1965-01-19
68263,Fumiko,Bodoff,Staff,1991-12-19,1965-01-16
90518,Fumiko,Chepyzhov,Senior Staff,1997-01-27,1965-01-24
478007,Fumino,Narahara,Senior Engineer,2000-09-20,1965-01-06
38168,Fumiko,Deverell,Senior Staff,1996-08-14,1965-01-14
51118,Fumiko,Mundy,Staff,1998-09-22,1965-01-17
449815,Fumitaka,Quittner,Senior Staff,1993-04-20,1965-01-27
67548,Fumitaka,Roohalamini,Staff,1998-06-27,1965-01-11
281834,Fumitake,Marchegay,Assistant Engineer,1991-09-29,1965-01-16
475258,Fumiyo,Feinberg,Senior Staff,1995-11-22,1965-01-10
299346,Fumitake,Sichman,Senior Staff,1991-02-21,1965-01-09
429569,Fumiya,Chappelet,Engineer,1999-09-04,1965-01-03
293329,Fumiya,Griswold,Senior Engineer,1994-06-12,1965-01-15
295030,Fun,Keirsey,Senior Staff,1985-07-09,1965-01-01
263926,Fusako,Schwartzbauer,Senior Staff,1993-04-07,1965-01-03
491632,Gadiel,Perly,Senior Staff,1994-10-20,1965-01-01
453154,Gao,Lally,Staff,1996-03-01,1965-01-03
211879,Gao,Ranze,Senior Engineer,1999-11-24,1965-01-12
227899,Garnik,Luce,Staff,1998-09-15,1965-01-23
284717,Gal,Ranta,Senior Engineer,1997-11-07,1965-01-11
421033,Garnik,Randt,Senior Staff,1994-12-23,1965-01-14
480268,Gaurav,Cheshire,Technique Leader,1989-03-30,1965-01-18
445723,Gaurav,Roison,Senior Staff,1995-10-22,1965-01-31
16528,Gaurav,Swick,Engineer,2001-05-07,1965-01-21
457070,Gay,Plavsic,Senior Staff,1994-08-06,1965-01-25
426818,Gaurav,Fendler,Senior Staff,1997-02-14,1965-01-21
475087,Genevieve,Snedden,Senior Engineer,1988-10-21,1965-01-31
81619,Gen,Aloisi,Senior Engineer,1993-03-12,1965-01-12
58819,Gennady,Liesche,Senior Staff,1987-12-02,1965-01-04
435588,Genta,Pepe,Senior Staff,2002-04-12,1965-01-29
447135,Gennady,Rouquie,Senior Staff,1989-08-24,1965-01-31
412315,Geoff,Peck,Staff,1999-01-08,1965-01-02
201739,Genta,Terekhov,Assistant Engineer,1998-07-21,1965-01-16
408114,Geoffrey,Ladret,Engineer,1994-01-03,1965-01-05
15376,Geoff,Soicher,Senior Staff,1996-08-14,1965-01-10
486808,Geoffrey,Siochi,Senior Engineer,1998-12-27,1965-01-05
495969,Geoffrey,Panienski,Senior Engineer,1995-11-29,1965-01-01
458191,George,Atchley,Staff,1997-07-02,1965-01-28
246244,George,Casperson,Staff,2000-01-20,1965-01-09
292504,Georgi,Bednarek,Senior Engineer,2002-03-02,1965-01-27
249969,Georgi,Luiz,Senior Engineer,1999-06-10,1965-01-21
224934,George,Miake,Senior Staff,1996-01-02,1965-01-05
406125,Georgi,Portugali,Technique Leader,1987-09-27,1965-01-25
95416,Gianluca,Ramaiah,Engineer,1993-11-29,1965-01-13
488619,Georgy,Bennis,Engineer,1998-04-11,1965-01-25
498456,Geraldo,Gerteisen,Senior Staff,1993-06-04,1965-01-17
98514,Giao,Junot,Staff,1999-07-01,1965-01-08
261986,Gila,Ramsak,Senior Engineer,1997-05-13,1965-01-21
455814,Giao,DuCasse,Senior Engineer,1999-07-19,1965-01-28
245396,Gift,Bottner,Senior Staff,2002-03-04,1965-01-31
94045,Gift,Brender,Senior Engineer,1996-10-31,1965-01-19
276563,Gift,Solares,Senior Staff,1995-08-01,1965-01-01
29265,Gilbert,Calkin,Senior Staff,1994-03-21,1965-01-14
229404,Gilbert,Kilgour,Staff,1996-04-05,1965-01-11
252316,Gill,Niizuma,Senior Engineer,1999-10-08,1965-01-07
450309,Gill,Orlowska,Technique Leader,1986-12-25,1965-01-08
454378,Gina,Ossenbruggen,Technique Leader,1998-01-03,1965-01-06
491478,Gill,Varman,Senior Staff,1996-06-18,1965-01-16
210449,Gino,Lagarias,Engineer,1997-06-22,1965-01-19
481148,Gina,Decaestecker,Engineer,1986-06-20,1965-01-18
226216,Giordano,Gini,Technique Leader,1993-08-14,1965-01-28
418689,Gino,Uehara,Senior Staff,1988-02-17,1965-01-07
235458,Gio,Heuser,Senior Staff,1999-06-29,1965-01-05
227354,Gio,Murtha,Senior Engineer,1994-11-11,1965-01-12
416877,Gio,Orsini,Senior Staff,1993-12-07,1965-01-02
92443,Girolamo,Bellmore,Senior Staff,1996-12-04,1965-01-01
496970,Giordano,Maquelin,Senior Engineer,1999-12-31,1965-01-03
202950,Giordano,Pietrzykowski,Senior Staff,1987-03-26,1965-01-17
492677,Goetz,McAffer,Senior Engineer,1994-02-04,1965-01-26
476055,Girolamo,Schlumberger,Senior Staff,1998-03-07,1965-01-03
291368,Gita,Rodier,Staff,1990-08-24,1965-01-03
485253,Gladys,Parhami,Senior Staff,1996-07-20,1965-01-14
472052,Godehard,Chinal,Assistant Engineer,1995-12-09,1965-01-26
109953,Godehard,Chorvat,Senior Staff,1996-04-10,1965-01-26
231798,Goetz,Alvarado,Senior Engineer,1997-12-25,1965-01-28
64209,Golgen,Schoegge,Senior Staff,1988-02-26,1965-01-24
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,1965-01-10
214866,Gopalakrishnan,Angel,Senior Engineer,2002-07-05,1965-02-01
88103,Goo,Bresenham,Senior Staff,1999-01-31,1965-01-09
426824,Gopalakrishnan,Mawatari,Senior Staff,1993-10-29,1965-01-25
249451,Gopalakrishnan,Pehl,Engineer,1995-03-15,1965-01-06
222952,Gopalakrishnan,Suermann,Senior Engineer,1998-04-30,1965-01-28
109211,Gor,Delgrande,Senior Engineer,2001-11-06,1965-01-11
497660,Gritta,Petereit,Senior Engineer,1985-04-06,1965-01-02
452956,Gou,Thombley,Senior Engineer,1987-04-09,1965-01-17
434384,Greger,Babb,Senior Staff,1995-11-06,1965-01-28
290441,Gregory,Collavizza,Senior Staff,1993-09-08,1965-01-25
204425,Gretta,Huttel,Senior Engineer,1990-10-08,1965-01-03
17799,Gro,Gini,Engineer,1997-09-28,1965-01-28
239581,Guangming,Marquardt,Staff,1997-06-06,1965-01-18
235325,Gro,Prochazka,Senior Engineer,1998-10-16,1965-01-06
237400,Guadalupe,Perri,Technique Leader,1996-06-27,1965-01-24
206836,Guadalupe,Pfau,Senior Staff,2001-03-22,1965-01-12
410616,Gudjon,Kalorkoti,Senior Engineer,1999-04-14,1965-01-18
30695,Gudjon,Majewski,Senior Engineer,1999-10-26,1965-01-08
272285,Gully,Mitchem,Senior Staff,1995-01-22,1965-01-19
79171,Guiseppe,Ellozy,Senior Engineer,1991-01-12,1965-01-19
202403,Gully,Perko,Engineer,1999-07-07,1965-01-09
254044,Gunilla,Brendel,Senior Engineer,2000-04-10,1965-01-16
439924,Gunilla,Kisuki,Senior Staff,2000-08-13,1965-01-30
425830,Guther,Conia,Engineer,1999-02-13,1965-01-30
273858,Gunilla,Matzen,Senior Staff,1995-12-28,1965-01-13
91256,Gunilla,Milicic,Staff,1998-01-09,1965-01-13
427805,Haldun,Compeau,Senior Staff,1997-10-15,1965-01-21
89590,Guther,Rothenberg,Senior Staff,2000-08-07,1965-01-27
36844,Hailing,Levergood,Staff,2000-01-12,1965-01-01
481790,Haldun,Erie,Senior Engineer,1996-09-12,1965-01-22
105520,Haldun,Lienhardt,Senior Staff,1987-01-29,1965-01-01
469527,Halsur,Ibel,Staff,1998-03-05,1965-01-24
97623,Haldon,Janetzko,Senior Staff,1996-09-10,1965-01-25
448994,Haldun,Syang,Staff,1997-02-11,1965-01-12
256216,Halsur,Brodal,Engineer,1997-11-22,1965-01-01
413729,Harjit,Ernst,Technique Leader,1992-04-26,1965-01-02
80948,Harjit,Bardell,Senior Engineer,1996-05-23,1965-01-27
31514,Harngdar,Schapire,Senior Engineer,2001-11-09,1965-01-13
229248,Harjit,Terekhov,Staff,1995-10-19,1965-01-27
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,1965-01-20
270821,Hatem,Bierbaum,Staff,1999-09-07,1965-01-21
260399,Hatem,Birsak,Senior Staff,1995-04-10,1965-01-30
109741,Hatem,Fadgyas,Senior Engineer,1991-11-13,1965-01-11
428195,Hatsukazu,Rosca,Senior Staff,1991-10-13,1965-01-11
483675,Hausi,Kamber,Senior Engineer,1993-02-15,1965-01-22
240011,Heather,Luef,Technique Leader,1989-02-24,1965-01-27
256888,Heather,Pehl,Staff,1993-09-15,1965-01-03
255779,Heejo,Merle,Technique Leader,1997-09-04,1965-01-31
100916,Heejo,Aamodt,Senior Engineer,2001-04-22,1965-01-18
20720,Heejo,Brodie,Senior Staff,1996-12-27,1965-01-17
60000,Heekeun,Emmart,Engineer,2001-09-22,1965-01-16
62033,Heeju,Cappelli,Senior Engineer,1994-01-15,1965-01-24
280648,Heeju,Lorys,Senior Engineer,1992-12-26,1965-01-04
469867,Hein,Jonsson,Senior Staff,1990-02-12,1965-01-23
63566,Heekeun,Slaats,Senior Staff,1999-01-12,1965-01-31
492217,Heekeun,Verhaegen,Senior Engineer,1991-09-28,1965-01-16
204470,Hein,Lichtner,Senior Staff,2001-04-02,1965-01-22
445152,Heping,Peac,Senior Staff,1992-03-20,1965-01-09
235729,Henk,Anger,Senior Staff,2002-01-19,1965-02-01
419099,Heon,Broomell,Staff,1998-05-06,1965-01-15
444070,Heping,Skrikant,Senior Staff,1999-11-27,1965-01-15
242019,Herb,Murrill,Senior Engineer,1999-09-27,1965-01-09
103756,Heping,Halloran,Engineer,2001-04-08,1965-01-31
465874,Herb,Picht,Engineer,1994-05-31,1965-01-12
446306,Hercules,Kabayashi,Senior Engineer,1991-06-10,1965-01-22
94944,Heping,Matheson,Senior Engineer,1997-06-24,1965-01-13
423350,Heping,Monarch,Senior Staff,1993-04-15,1965-01-04
226227,Herbert,Erva,Senior Engineer,1995-09-06,1965-01-07
484498,Herbert,Hammerschmidt,Senior Engineer,2001-08-22,1965-01-26
435791,Hercules,Speer,Senior Engineer,1999-03-07,1965-01-07
223593,Hidefumi,Moehrke,Staff,1998-03-04,1965-01-20
242237,Hidde,Papsdorf,Senior Staff,1998-11-07,1965-01-21
420599,Hidde,Riexinger,Senior Engineer,1995-11-18,1965-01-02
478858,Hidekazu,Perna,Staff,1999-11-08,1965-01-20
278883,Hidefumi,Saoudi,Engineer,1990-09-15,1965-01-22
282000,Hideo,Ratnakar,Senior Engineer,1997-06-12,1965-01-06
263012,Hideo,Buchter,Staff,1999-05-01,1965-01-09
11126,Hideo,Daescu,Senior Staff,1999-02-25,1965-01-08
431882,Hideo,Varman,Engineer,1997-06-19,1965-01-21
293080,Hideyuki,Slaats,Senior Staff,1987-05-30,1965-01-12
249239,Hideyuki,Decleir,Senior Engineer,1994-05-04,1965-01-21
276472,Hideyuki,Flanders,Senior Engineer,1994-11-10,1965-01-27
10095,Hilari,Morton,Senior Staff,2000-03-09,1965-01-03
400046,Hilari,Christ,Senior Staff,1991-01-19,1965-01-12
23396,Hilari,Fairtlough,Technique Leader,1986-12-15,1965-01-02
449984,Hinrich,Perin,Senior Engineer,1993-11-20,1965-02-01
289909,Hilari,Vecchio,Senior Staff,1998-04-24,1965-01-09
63441,Hinrich,Scallan,Staff,1999-04-04,1965-01-15
251166,Hinrich,Hooghiemstra,Senior Staff,1993-10-05,1965-01-22
108091,Hisao,Ghemri,Senior Staff,1990-11-14,1965-01-09
459685,Hirochika,Goldhammer,Engineer,1998-03-12,1965-02-01
280411,Hironoby,Farrar,Technique Leader,1987-11-03,1965-01-18
493031,Hironoby,Jakobus,Senior Staff,1996-07-29,1965-01-23
74344,Hiroyasu,Provine,Engineer,1994-11-25,1965-02-01
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,1965-01-14
466367,Hiroyasu,Strandh,Senior Staff,1997-06-05,1965-01-05
48690,Hitomi,Schaap,Staff,1999-09-27,1965-01-12
100865,Hisao,Peral,Senior Engineer,1998-10-03,1965-01-19
94761,Hitofumi,Zaccaria,Senior Engineer,1997-11-22,1965-01-27
71710,Hitomi,Takanami,Assistant Engineer,1997-12-15,1965-01-31
276027,Holgard,Stavenow,Senior Staff,1995-02-28,1965-01-04
74200,Holgard,Weiland,Senior Engineer,1991-09-24,1965-01-16
272599,Holgard,Hegner,Senior Staff,1998-07-15,1965-01-16
72640,Honglan,Hutton,Senior Engineer,1998-10-04,1965-01-24
273806,Hongzhu,Beetstra,Senior Staff,2000-01-24,1965-01-01
256856,Hongzue,Barbanera,Senior Staff,1995-06-17,1965-01-03
469399,Hongzhu,Ruemmler,Engineer,1999-02-14,1965-01-25
292404,Hongzue,Zultner,Senior Staff,1990-02-22,1965-01-28
106958,Horward,Begiun,Senior Engineer,1992-11-06,1965-01-24
288665,Horward,Khasidashvili,Senior Engineer,1998-11-19,1965-01-31
413098,Hsiangchu,Taubenfeld,Senior Staff,1999-04-17,1965-01-26
217363,Horward,Marzano,Staff,1996-04-11,1965-01-14
22185,Huai,Birch,Engineer,2002-03-26,1965-01-29
255466,Huan,Roccetti,Senior Engineer,1985-07-03,1965-01-18
43733,Huei,Boguraev,Senior Staff,1998-12-31,1965-01-26
236883,Huan,Olivero,Staff,1999-11-19,1965-01-27
109652,Huan,Perko,Senior Staff,1993-07-31,1965-01-25
468360,Huei,Saoudi,Technique Leader,1994-08-10,1965-01-12
92920,Huei,Hutter,Senior Engineer,2000-01-29,1965-01-20
279384,Hugo,Comte,Senior Staff,1992-06-30,1965-01-24
38593,Huei,Orsini,Senior Engineer,1995-06-04,1965-01-14
203474,Hugh,Jonsson,Senior Staff,1997-07-05,1965-01-03
429087,Hugh,Senzako,Technique Leader,1992-10-15,1965-01-27
464284,Huiqun,Henders,Senior Staff,1993-05-19,1965-01-20
473268,Hugo,Sgarro,Senior Staff,1992-04-24,1965-01-01
426795,Huican,Lunn,Senior Staff,1991-07-23,1965-01-07
228098,IEEE,Kroll,Engineer,1997-05-10,1965-01-18
253893,Huiqun,Trystram,Senior Engineer,1993-05-10,1965-01-04
236315,IEEE,Raczkowsky,Technique Leader,1996-07-24,1965-01-31
25488,Ingmar,Basawa,Senior Staff,1997-11-08,1965-01-19
288134,IEEE,VanScheik,Staff,1992-02-11,1965-01-11
457611,Indrajit,Krogh,Engineer,1998-09-18,1965-01-09
214539,Ingmar,Kohling,Engineer,1995-04-25,1965-01-27
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,1965-01-12
253707,Insup,Hainaut,Staff,1998-02-11,1965-01-05
236591,Insup,Reinhard,Senior Staff,1993-04-08,1965-01-11
256881,Ioana,Jakobus,Senior Engineer,1999-08-10,1965-01-03
297474,Irena,Terkki,Staff,1998-03-11,1965-01-13
280836,Ipke,Farrar,Senior Engineer,1991-03-04,1965-01-16
488632,Irena,Baalen,Staff,1999-11-22,1965-01-20
444208,Irena,Cesareni,Senior Staff,1985-10-30,1965-01-27
235017,Irena,Dratva,Senior Staff,1999-09-07,1965-01-17
432089,Irena,Gulla,Senior Engineer,1989-12-30,1965-01-17
267667,Irena,Kaiserswerth,Senior Staff,1994-09-05,1965-01-05
276189,Isaac,Klerer,Senior Staff,2000-03-18,1965-01-10
202882,Isaac,Koshino,Senior Engineer,1995-09-28,1965-01-25
463023,Itzchak,Penn,Staff,1999-01-21,1965-01-06
284300,Ishfaq,Mahmud,Senior Staff,1996-11-28,1965-01-22
486955,Jaber,Feldmann,Engineer,1997-05-23,1965-01-09
248351,Jaana,Milicia,Senior Staff,1985-06-02,1965-02-01
24080,Jaana,Perez,Technique Leader,1996-03-11,1965-01-26
451272,Jacopo,Krohm,Senior Engineer,1997-04-23,1965-01-02
105191,Jaber,Kleiser,Engineer,1986-12-13,1965-01-01
463472,Jaber,Sethi,Technique Leader,1995-06-06,1965-01-11
457832,Jackson,Zielinski,Senior Engineer,1997-09-12,1965-02-01
295255,Jacopo,Bellone,Technique Leader,1988-03-13,1965-01-04
424805,Jacqueline,Zallocco,Senior Staff,1994-12-17,1965-01-24
207021,Jacqueline,Akaboshi,Engineer,1997-12-06,1965-01-20
81105,Jaewon,Boissier,Senior Engineer,1998-05-24,1965-01-14
86422,Jaewon,Thummel,Senior Staff,1992-09-14,1965-02-01
487856,Jaewon,Mansanne,Engineer,1999-05-22,1965-01-18
241254,Jagoda,Anguita,Senior Engineer,1993-05-11,1965-01-15
449189,Jahangir,Bernatsky,Senior Staff,1995-09-30,1965-01-30
280420,Jahangir,Hofting,Senior Staff,1993-09-28,1965-01-31
422783,Jagoda,Uhrig,Engineer,1995-09-01,1965-01-18
425875,Jahangir,Kroft,Senior Staff,1995-06-11,1965-01-19
229981,Jamaludin,Fordan,Senior Engineer,2001-02-05,1965-01-19
75760,Jahangir,Radhakrishnan,Technique Leader,1991-04-19,1965-01-21
451253,Jaihie,Ozeri,Senior Staff,1997-06-20,1965-01-15
74237,Jaihie,Vilarrasa,Engineer,2001-03-03,1965-01-29
428160,Jamaludin,Kalorkoti,Senior Staff,2001-07-14,1965-01-12
109062,Jamaludin,Kandlur,Senior Engineer,1992-06-19,1965-02-01
109611,Jamaludin,Lalonde,Staff,1994-07-09,1965-01-08
430593,Janalee,Lanzelotte,Senior Staff,1997-12-01,1965-01-19
91415,Jamaludin,Nilsson,Senior Staff,1994-01-15,1965-01-04
84494,Janalee,Loncour,Staff,1986-04-12,1965-01-02
68648,Jaques,DiGiano,Technique Leader,1992-04-01,1965-01-25
427823,Jaques,Gecsei,Staff,1999-07-13,1965-01-18
93040,Jaques,Kabayashi,Senior Engineer,1992-03-13,1965-01-19
235793,Jayesh,Spinelli,Senior Engineer,1992-07-18,1965-01-03
286029,Jaques,Nanard,Staff,1996-07-16,1965-01-28
435357,Jaques,Standera,Engineer,1997-10-02,1965-01-29
22451,Jasminko,Bresenham,Senior Staff,1996-12-15,1965-01-27
482354,Jayson,Zockler,Staff,1999-11-06,1965-01-23
65171,Jeane,Tasistro,Technique Leader,1994-07-06,1965-01-25
278953,Jeanna,Ghandeharizadeh,Senior Engineer,1990-08-11,1965-01-26
403954,Jeanna,Bratten,Senior Engineer,1997-07-26,1965-01-10
97018,Jeanna,Chinen,Senior Engineer,1994-01-01,1965-01-09
402718,Jeanna,Rettelbach,Senior Engineer,1996-02-14,1965-01-17
60559,Jeanna,Stemann,Senior Engineer,1996-08-29,1965-01-19
11015,Jeanna,Riesenhuber,Senior Staff,1998-03-14,1965-01-24
404879,Jeanne,Kaminger,Engineer,1987-07-21,1965-01-12
204117,Jessie,Nooteboom,Staff,1999-08-13,1965-01-10
79310,Jeong,Cunliffe,Senior Staff,1996-10-27,1965-01-24
37070,Jeong,Undy,Senior Staff,1993-02-13,1965-01-22
33025,Jessie,Thorelli,Senior Staff,1999-12-16,1965-01-12
35044,Jiang,Waschkowski,Senior Engineer,1997-05-27,1965-01-04
53597,Jiafu,Marchegay,Senior Engineer,1992-03-02,1965-01-30
26671,Jiakeng,Kalorkoti,Senior Engineer,2001-12-25,1965-01-21
217387,Jianhao,Molenaar,Senior Engineer,1994-10-22,1965-01-21
66643,Jianhao,Tomescu,Engineer,1996-08-26,1965-01-18
21181,Jianhui,Cangellaris,Engineer,1999-10-06,1965-01-21
261631,Jianhua,Huttel,Engineer,1998-02-23,1965-01-08
429756,Jiann,Hofmeyr,Staff,1992-02-03,1965-01-06
275881,Jiann,Munro,Senior Engineer,1988-05-18,1965-01-08
91973,Jianwen,Jakobus,Senior Engineer,1998-08-24,1965-01-25
55799,Jianwen,Litzler,Senior Engineer,1993-06-16,1965-01-23
457146,Jinpo,Heyers,Staff,1999-01-07,1965-01-20
463099,Jinxi,Schmiedel,Senior Staff,1996-09-20,1965-01-15
488693,Jiong,Zultner,Senior Engineer,1993-03-10,1965-01-27
218100,Jiong,Garnham,Senior Staff,1999-01-02,1965-01-24
408953,Jolita,Claffy,Senior Engineer,1993-12-24,1965-01-26
262548,Jixiang,Loncour,Engineer,1994-03-16,1965-01-05
86672,JoAnne,Anido,Staff,1995-09-15,1965-01-15
38550,JoAnne,Baez,Senior Engineer,1987-02-16,1965-01-14
249799,Jolita,Neimat,Senior Engineer,1999-12-27,1965-01-04
482755,Jouni,Conia,Senior Staff,1999-10-31,1965-01-03
267304,Jordanka,Axelband,Senior Staff,1994-06-27,1965-01-06
418239,Josyula,Motley,Senior Engineer,1992-09-05,1965-01-03
29782,Jouko,Hellwagner,Senior Engineer,1994-12-21,1965-01-29
287583,Jovan,Hockney,Senior Engineer,1997-06-21,1965-01-18
52590,Jouni,Munoz,Senior Staff,2000-11-25,1965-01-21
423208,Joydip,Krone,Engineer,1995-02-08,1965-01-19
46811,Junsik,Berendt,Senior Engineer,1988-04-27,1965-01-10
293752,Jungsoon,Bail,Senior Staff,1994-02-18,1965-01-04
422450,Junichi,Rubsam,Senior Engineer,1988-10-30,1965-01-04
424584,Kagan,Dredge,Senior Engineer,2000-02-26,1965-02-01
415187,Juyoung,Peltason,Assistant Engineer,1998-09-01,1965-01-03
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,1965-01-24
47702,Juyoung,Vieri,Senior Staff,1999-08-12,1965-01-21
414897,Juyoung,Willoner,Senior Staff,1994-11-03,1965-01-17
426168,Kaijung,Mateescu,Senior Staff,1992-11-17,1965-01-10
458919,Kaijung,Papadias,Engineer,1999-05-01,1965-01-12
447966,Kamakshi,Hebert,Senior Engineer,2002-01-17,1965-01-05
468417,Kamakshi,Huhdanpaa,Senior Engineer,2001-08-26,1965-01-25
400683,Kamakshi,Manders,Staff,1995-08-05,1965-01-28
296718,Kamakshi,Bahl,Senior Engineer,1987-12-22,1965-01-30
295857,Kankanahalli,Ciolek,Senior Staff,1998-12-26,1965-01-17
454825,Kamakshi,Schusler,Senior Engineer,2001-05-24,1965-01-02
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,1965-01-09
416492,Kannan,Meriste,Senior Engineer,1992-08-12,1965-01-15
62046,Karlis,Nanard,Senior Engineer,2001-09-19,1965-01-31
79043,Katsuo,Hockney,Technique Leader,1999-11-07,1965-01-24
426706,Karsten,Kawashima,Senior Engineer,1999-03-15,1965-01-07
295236,Kauko,Fujisawa,Senior Engineer,1992-09-12,1965-01-24
61541,Kasidit,Papsdorf,Senior Engineer,1999-08-17,1965-01-08
27970,KayLiang,Miyakawa,Technique Leader,1995-11-22,1965-01-12
288028,Kauko,Narwekar,Senior Engineer,1994-12-16,1965-01-22
100877,Kazuhide,Harnett,Engineer,1995-02-02,1965-01-13
262861,Kayoko,Attimonelli,Senior Staff,1997-10-14,1965-01-16
479601,Kayoko,Bahi,Staff,1997-02-19,1965-01-19
418566,Kazuhide,Snedden,Senior Engineer,1996-06-14,1965-01-27
418380,Kazuhiko,Gornas,Senior Engineer,1993-05-20,1965-01-02
471939,Kazuhiko,Marshall,Staff,1999-11-16,1965-01-27
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,1965-01-16
89487,Kazuhira,Seiwald,Engineer,1995-03-25,1965-01-29
437369,Kazuhide,Biran,Senior Staff,1995-01-25,1965-02-01
435181,Kazuhide,Fiutem,Senior Staff,1998-05-10,1965-01-16
91172,Kazuhisa,Melter,Senior Staff,1993-07-15,1965-01-19
410433,Kazuhisa,Riesenhuber,Senior Engineer,1992-10-06,1965-01-19
80067,Kazuhisa,Weiland,Senior Staff,1991-11-09,1965-01-19
490240,Kazunori,Orlowska,Staff,1996-06-18,1965-01-18
20128,Kazunori,Peak,Senior Staff,1999-08-13,1965-01-23
243077,Kazunori,Perz,Senior Engineer,1999-02-25,1965-02-01
429231,Kazuyasu,Schmiedel,Senior Staff,1991-09-07,1965-01-09
242800,Kazuyasu,Levergood,Engineer,1996-02-10,1965-01-11
94690,Kazuyasu,Sridhar,Staff,1999-12-22,1965-01-30
485489,Keiichiro,Armand,Senior Engineer,1996-12-13,1965-01-01
235269,Keiichiro,Feldmann,Staff,1997-12-20,1965-01-31
12155,Keiichiro,Glinert,Senior Engineer,2001-09-16,1965-01-21
285905,Kellyn,Bage,Senior Staff,1994-11-04,1965-01-09
433438,Keiichiro,Miyakawa,Senior Staff,2000-09-12,1965-01-06
233818,Kellie,Heydon,Senior Engineer,1991-11-11,1965-01-01
265521,Kensei,Salverda,Senior Engineer,2001-05-25,1965-01-04
207204,Kellie,Schrooten,Engineer,1999-01-17,1965-01-25
488482,Kensyu,Tsunoo,Engineer,1999-12-05,1965-01-30
422146,Kenton,Miara,Engineer,1999-05-14,1965-01-08
437870,Kerhong,Lorho,Staff,1995-06-18,1965-01-07
202826,Kerhong,Matzke,Senior Engineer,1993-11-14,1965-01-19
402102,Kersti,Granlund,Engineer,1995-03-19,1965-01-21
430631,Kersti,Marsiglia,Engineer,1994-02-19,1965-01-17
489756,Kersti,Miculan,Senior Staff,1999-06-10,1965-01-01
76598,Keung,Ferriere,Engineer,1991-05-13,1965-01-24
87129,Keung,Neiman,Staff,1997-04-13,1965-01-16
41518,Keung,Schapiro,Senior Engineer,1998-04-19,1965-01-11
252318,Keung,Simmel,Technique Leader,1995-11-17,1965-01-30
488984,Kendra,Junet,Senior Staff,1993-02-28,1965-01-18
233394,Khalid,Lenart,Engineer,1995-12-24,1965-01-06
473299,Khaled,Penn,Senior Staff,1999-05-20,1965-01-12
264001,Khalil,Mapelli,Senior Engineer,1990-01-15,1965-01-16
430891,Khalil,Gien,Senior Engineer,1991-08-06,1965-01-06
52956,Khalil,Picci,Senior Engineer,1992-03-20,1965-01-31
292146,Khatoun,Pulkowski,Engineer,1998-01-11,1965-01-09
420877,Khosrow,Erez,Senior Staff,1996-02-11,1965-01-29
281692,Khosrow,Sommen,Senior Engineer,1990-03-03,1965-01-06
455243,Khoa,Bahk,Senior Engineer,1991-06-10,1965-01-13
476122,Khun,Spieker,Engineer,1995-05-07,1965-01-04
87714,Khun,Janetzko,Engineer,1998-09-13,1965-01-16
205660,Kien,Barreiro,Staff,1997-08-25,1965-01-27
212703,Kien,Bennis,Engineer,1993-01-06,1965-01-02
298339,King,Benzmuller,Senior Engineer,1995-09-04,1965-01-11
71243,Kinh,Buchter,Senior Engineer,1993-03-29,1965-01-10
447376,Kirk,Zongker,Staff,1999-12-10,1965-01-07
280525,Kish,Herbst,Staff,1996-08-18,1965-01-13
200363,Kirk,Quaggetto,Senior Engineer,1995-06-30,1965-01-10
250748,Kish,Turnbull,Senior Engineer,1994-02-10,1965-01-27
410703,Kitty,Halloran,Staff,1997-11-20,1965-01-14
74598,Kolar,Garigliano,Senior Staff,1992-05-10,1965-01-07
467591,Kiyotoshi,Hennebert,Staff,1997-09-21,1965-01-17
58217,Kiyotoshi,Kusalik,Engineer,1998-11-19,1965-01-30
90292,Koichi,Assaf,Senior Engineer,1998-05-26,1965-01-09
